id,rarity rank,background,gender,skin,tattoos,hat,hair,hairColor,clothes,bling,mouth,glass,facial
2931,765,Lavender,Male,Shade 2,None,Trucker Hat,Hat,Brown,Button up,Silver Cuban,Septum Piercing,3D Glasses,Quarter Goat
2932,2405,Turquoise,Female,Shade 6,None,None,Mohawk,Blonde,Button up,Silver Cuban,Septum Piercing,Silver Piercings,None
2933,1568,Orange,Female,Shade 6,None,Bucket Hat,Hat,Black,Collard Tee,None,Hay,Cyborg Glasses,None
2934,1654,Yellow,Female,Shade 7,None,None,Bowl Cut,Brown,Leather Jacket,Black Choker,Quellazaire,Sunglasses,None
2935,2072,Lavender,Female,Shade 3,None,None,Buzzed Braids,Blonde,White Tee,Silver Cuban,Hay,Bridge Piercing,None
2936,928,Yellow,Female,Shade 3,None,Beanie,Hat,Black,Cut Off Sleeves,Silver Cuban,Quellazaire,Sunglasses,None
2937,278,Turquoise,Male,Shade 6,None,Cowboy Hat,Hat,Pink,Button up,Bling,Pipe,Silver Piercings,Pencil Jaw
2938,994,Mauve,Male,Shade 2,None,Bucket Hat,Hat,Black,Ripped Up Tee,Silver Cuban,Respirator Mask,Shutter Shades,None
2939,4382,Lavender,Female,Shade 3,None,None,Top Dreads,Blonde,Hoodie,None,None,None,None
2940,4691,Green,Male,Shade 7,None,None,Mohawk,Platinum,Button up,None,None,None,None
2941,1753,Deco,Male,Shade 7,None,None,Bowl Cut,Black,Camo Tee,Gold Cuban,Cigarette,Bridge Piercing,Sideburns
2942,2842,Deco,Male,Shade 7,None,None,Mullet,Red,Zip Up Hoodie,Silver Cuban,Vape,Reading Glasses,None
2943,3305,Green,Female,Shade 1,None,None,Shaggy,Red,Turtleneck,None,Pipe,Gold Piercings,None
2944,4799,Blue,Male,Shade 1,None,None,Crew Cut,Red,White Tank,None,None,None,None
2945,1757,Green,Female,Shade 5,None,Forwards Cap,Hat,Brown,Collard Tee,Black Choker,Vape,None,None
2946,1470,Orange,Male,Shade 2,None,Backwards Hat,Hat,Red,Collard Tee,None,Snake Bites,Designer Shades,Half Goat
2947,769,Turquoise,Female,Shade 5,None,Forwards Cap,Hat,Platinum,Leather Jacket,Black Choker,Snake Bites,Bridge Piercing,None
2948,1493,Green,Male,Shade 4,None,Winter Hat,Hat,Brown,Cut Off Sleeves,Silver Cuban,Pipe,None,Sideburns
2949,2251,Deco,Female,Shade 1,None,None,Shoulder Length,Black,White Tank,Gold Cuban,Septum Piercing,Gold Piercings,None
2950,3794,Pink,Female,Shade 3,None,None,Crew Cut,Platinum,Rags,None,Cigarette,None,None
2951,4240,Turquoise,Female,Shade 6,None,None,Top Dreads,Platinum,White Tee,None,None,None,None
2952,2129,Pine,Female,Shade 5,None,None,Mohawk,Red,Cut Off Sleeves,Silver Cuban,Septum Piercing,Silver Piercings,None
2953,3440,Deco,Female,Shade 6,None,None,Mohawk,Black,Hoodie,Silver Cuban,Pipe,None,None
2954,4845,Pine,Male,Shade 1,None,None,Bowl Cut,Black,Hoodie,None,None,None,None
2955,4074,Green,Female,Shade 3,None,None,Mohawk,Platinum,Festival Top,None,None,None,None
2956,1072,Pine,Female,Shade 6,None,Forwards Cap,Hat,Blue,Leather Jacket,Silver Cuban,None,Steampunk Shades,None
2957,4916,Pink,Male,Shade 3,None,None,Mohawk,Red,White Tee,None,None,None,None
2958,4710,Deco,Male,Shade 5,None,None,Shaggy,Platinum,Hoodie,None,None,None,None
2959,699,Yellow,Female,Shade 6,None,Forwards Cap,Hat,Blonde,Cut Off Sleeves,Pearl Necklace,Snake Bites,Silver Piercings,None
2960,477,Deco,Male,Shade 2,None,Backwards Hat,Hat,Blonde,Ripped Up Tee,Pink Choker,Pipe,Sunglasses,5 o'clock
2961,4246,Sand,Female,Shade 2,None,None,Crew Cut,Brown,Button up,None,None,None,None
2962,5,Green,Male,Alien,Street Tats,Bucket Hat,Hat,Rainbow,White Tee,Pink Choker,None,Bridge Piercing,Lined Up Soul Patch
2963,2915,Orange,Male,Shade 3,None,None,Bowl Cut,Brown,Hoodie,Gold Cuban,Quellazaire,None,Full Goat
2964,2255,Green,Female,Shade 5,None,None,Bowl Cut,Blonde,Hoodie,Gold Cuban,Surgical Mask,Sunglasses,None
2965,1207,Sand,Male,Shade 6,None,Forwards Cap,Hat,Black,Camo Tee,Pearl Necklace,Wizard Pipe,None,Handlebars
2966,3763,Pink,Female,Shade 6,None,None,Shoulder Length,Red,Festival Top,None,Vape,None,None
2967,366,Mauve,Female,Shade 3,None,Horns,Hat,Blue,Dirty Tee,Black Choker,Vape,Silver Piercings,None
2968,2717,Lavender,Female,Shade 4,None,None,Buzzed Braids,Platinum,Zip Up Hoodie,Black Choker,None,Bridge Piercing,None
2969,379,Yellow,Male,Shade 5,None,Forwards Cap,Hat,Platinum,Striped Tee,Pink Choker,Vape,Bridge Piercing,Lined Up Soul Patch
2970,4138,Turquoise,Male,Shade 3,None,None,Crew Cut,Red,Zip Up Hoodie,None,Vape,None,None
2971,4129,Blue,Male,Shade 3,None,None,Top Dreads,Black,Hoodie,None,Cigarette,None,None
2972,832,Lavender,Female,Shade 6,None,Beanie,Hat,Black,Striped Tee,Pearl Necklace,Snake Bites,Reading Glasses,None
2973,4688,Sand,Male,Shade 1,None,None,Top Dreads,Black,Button up,None,None,None,None
2974,3957,Mauve,Male,Shade 6,None,None,Crew Cut,Platinum,White Tee,None,None,Designer Shades 2,None
2975,3154,Turquoise,Female,Shade 3,None,None,Crew Cut,Red,Hawaiian Shirt,None,Septum Piercing,Gold Piercings,None
2976,525,Yellow,Female,Shade 2,None,Cowboy Hat,Hat,Black,Ripped Up Tee,Black Choker,Hydration Pack,3D Glasses,None
2977,171,Blue,Male,Shade 7,Street Tats,None,Crew Cut,Brown,Dirty Tee,Pink Choker,Hydration Pack,Designer Shades 2,Sideburns
2978,2985,Green,Female,Shade 1,None,None,Buzzed Braids,Black,Hawaiian Shirt,Gold Cuban,Blunt,None,None
2979,1540,Lavender,Male,Shade 4,None,Backwards Hat,Hat,Platinum,White Tee,None,Wizard Pipe,Sunglasses,Handlebars
2980,2808,Yellow,Male,Shade 3,None,None,Mohawk,Red,Button up,Gold Cuban,Septum Piercing,Reading Glasses,None
2981,1887,Orange,Male,Shade 2,None,None,Mohawk,Red,Camo Tee,Black Choker,Pipe,Designer Shades 2,5 o'clock
2982,2023,Pine,Male,Shade 6,None,None,Crew Cut,Red,Button up,Silver Cuban,Vape,Bridge Piercing,Half Goat
2983,1475,Deco,Male,Shade 2,None,Trucker Hat,Hat,Black,Striped Tee,None,Blunt,Gold Piercings,Stache
2984,1961,Green,Female,Shade 3,None,None,Bowl Cut,Brown,Button up,Black Choker,Quellazaire,Steampunk Shades,None
2985,4237,Light Purple,Female,Shade 3,None,None,Bowl Cut,Brown,White Tank,None,None,None,None
2986,2936,Deco,Male,Shade 5,None,None,Crew Cut,Brown,Turtleneck,None,Septum Piercing,Silver Piercings,Full Goat
2987,1888,Deco,Female,Shade 3,None,None,Buzzed Braids,Platinum,White Tank,Black Choker,Hay,Reading Glasses,None
2988,4229,Pink,Female,Shade 3,None,None,Bowl Cut,Platinum,Hoodie,None,None,None,None
2989,3923,Light Purple,Female,Shade 4,None,None,Mohawk,Red,Hoodie,None,Blunt,None,None
2990,2073,Pink,Female,Shade 3,None,None,Bowl Cut,Black,Hoodie,Black Choker,Quellazaire,Sunglasses,None
2991,3472,Lavender,Male,Shade 1,None,None,Dreads,Platinum,Shirtless,None,Vape,Designer Shades 2,None
2992,1450,Mauve,Male,Shade 5,None,None,Mohawk,Red,Ripped Up Tee,Pearl Necklace,Septum Piercing,Silver Piercings,Quarter Goat
2993,192,Turquoise,Male,Shade 3,Lazy Boy Tats,Horns,Hat,Black,Striped Tee,None,Hay,Reading Glasses,Full Goat
2994,4836,Pine,Male,Shade 7,None,None,Mullet,Red,Zip Up Hoodie,None,None,None,None
2995,3038,Orange,Female,Shade 4,None,None,Dreads,Black,White Tank,Silver Cuban,None,Designer Shades 2,None
2996,3263,Pine,Male,Shade 4,None,None,Bowl Cut,Brown,White Tank,Gold Cuban,None,Silver Piercings,None
2997,3637,Turquoise,Male,Shade 7,None,None,Buzzed Braids,Blonde,Button up,None,None,Bridge Piercing,Pencil Jaw
2998,2142,Deco,Female,Shade 7,None,Sweatband,Hat,Brown,White Tank,None,Wizard Pipe,Designer Shades,None
2999,2916,Pink,Female,Shade 2,None,None,Buzzed Braids,Red,Dress,None,Quellazaire,Designer Shades,None
3000,1925,Deco,Female,Shade 4,None,None,Dreads,Red,Hawaiian Shirt,Silver Cuban,Blunt,Bridge Piercing,None
3001,1037,Pine,Female,Shade 5,None,Sweatband,Hat,Blonde,Ripped Up Tee,Gold Cuban,Pipe,Steampunk Shades,None
3002,4649,Turquoise,Male,Shade 3,None,None,Shaggy,Platinum,Button up,None,None,None,None
3003,3846,Orange,Male,Shade 3,None,None,Bald,Red,Shirtless With Tats,None,Septum Piercing,None,None
3004,2670,Green,Male,Shade 2,None,None,Crew Cut,Red,Collard Tee,Black Choker,Blunt,None,Handlebars
3005,1870,Orange,Male,Shade 1,None,Sweatband,Hat,Platinum,Ripped Up Tee,None,Cigarette,Designer Shades 2,Half Goat
3006,4362,Mauve,Female,Shade 3,None,None,Top Dreads,Black,White Tank,None,None,None,None
3007,4888,Blue,Male,Shade 4,None,None,Crew Cut,Blonde,Zip Up Hoodie,None,None,None,None
3008,3109,Lavender,Male,Shade 7,None,None,Top Dreads,Black,White Tank,Silver Cuban,Vape,None,5 o'clock
3009,2310,Sand,Female,Shade 7,None,Cowboy Hat,Hat,Pink,White Tank,None,None,Shutter Shades,None
3010,1392,Sand,Male,Shade 7,None,Bucket Hat,Hat,Red,White Tee,Gold Cuban,Cigarette,Eyepatch,None
3011,4692,Orange,Male,Shade 6,None,None,Mullet,Platinum,Hoodie,None,None,None,None
3012,540,Green,Female,Shade 4,None,Cowboy Hat,Hat,Black,Striped Tee,Bling,Septum Piercing,Silver Piercings,None
3013,1631,Pine,Female,Shade 6,None,Forwards Cap,Hat,Black,Rags,None,Wizard Pipe,3D Glasses,None
3014,4328,Mauve,Female,Shade 5,None,None,Bowl Cut,Red,White Tank,None,None,None,None
3015,3877,Green,Male,Shade 5,None,None,Mullet,Black,Zip Up Hoodie,Gold Cuban,None,None,None
3016,2529,Light Purple,Female,Shade 5,None,None,Shaggy,Red,Hoodie,Gold Cuban,Blunt,Reading Glasses,None
3017,3755,Green,Female,Shade 4,None,None,Bowl Cut,Blonde,Zip Up Hoodie,Gold Cuban,None,None,None
3018,3334,Mauve,Female,Shade 7,None,None,Buzzed Braids,Brown,White Tank,None,Quellazaire,Reading Glasses,None
3019,861,Green,Female,Shade 3,None,Sweatband,Hat,Brown,Dirty Tee,Pink Choker,Pipe,Reading Glasses,None
3020,4842,Deco,Male,Shade 5,None,None,Mohawk,Brown,White Tank,None,None,None,None
3021,1675,Sand,Male,Shade 1,None,Forwards Cap,Hat,Black,Collard Tee,None,Cigarette,Shutter Shades,Sideburns
3022,4508,Light Purple,Male,Shade 7,None,None,Top Dreads,Black,Shirtless,None,None,None,None
3023,4809,Deco,Male,Shade 6,None,None,Top Dreads,Red,Zip Up Hoodie,None,None,None,None
3024,1464,Turquoise,Male,Shade 7,None,Forwards Cap,Hat,Brown,Camo Tee,None,Surgical Mask,Silver Piercings,Chinstrap
3025,4943,Blue,Male,Shade 4,None,None,Crew Cut,Black,Zip Up Hoodie,None,None,None,None
3026,1388,Orange,Female,Shade 2,None,Sweatband,Hat,Green,Turtleneck,None,Blunt,Future Shades,None
3027,1972,Yellow,Female,Shade 3,None,Sweatband,Hat,Platinum,White Tank,None,Wizard Pipe,Future Shades,None
3028,2972,Mauve,Male,Shade 3,None,None,Dreads,Platinum,Button up,None,Blunt,Bridge Piercing,Sideburns
3029,3580,Turquoise,Male,Shade 2,None,None,Shaggy,Blonde,Shirtless With Tats,None,Pipe,Designer Shades 2,None
3030,4661,Sand,Male,Shade 5,None,None,Top Dreads,Red,Button up,None,None,None,None
3031,2164,Green,Female,Shade 1,None,None,Mohawk,Brown,Hawaiian Shirt,Silver Cuban,Pipe,Designer Shades,None
3032,1240,Orange,Male,Shade 5,None,Horns,Hat,Black,Dirty Tee,Silver Cuban,Pipe,Designer Shades,None
3033,2363,Pine,Female,Shade 5,None,None,Dreads,Platinum,Hoodie,Gold Cuban,Septum Piercing,Designer Shades 2,None
3034,4848,Turquoise,Male,Shade 1,None,None,Shaggy,Brown,White Tee,None,None,None,None
3035,2761,Light Purple,Female,Shade 6,None,None,Mullet,Green,Button up,Gold Cuban,Blunt,None,None
3036,3831,Blue,Male,Shade 3,None,None,Crew Cut,Platinum,Rags,None,None,Designer Shades 2,None
3037,2117,Turquoise,Female,Shade 5,None,None,Crew Cut,Blonde,White Tank,Black Choker,Quellazaire,Designer Shades,None
3038,307,Lavender,Male,Shade 6,None,Sweatband,Hat,Green,Camo Tee,Black Choker,Vape,Shutter Shades,Quarter Goat
3039,3357,Green,Female,Shade 3,None,None,Bowl Cut,Blonde,White Tank,Silver Cuban,Cigarette,None,None
3040,4297,Orange,Female,Shade 2,None,None,Crew Cut,Blonde,Button up,None,None,None,None
3041,4445,Mauve,Female,Shade 1,None,None,Top Dreads,Black,Zip Up Hoodie,None,None,None,None
3042,2358,Orange,Female,Shade 7,None,None,Bowl Cut,Red,Button up,Gold Cuban,Vape,Designer Shades,None
3043,3927,Pink,Female,Shade 6,None,None,Mohawk,Red,White Tank,None,Cigarette,None,None
3044,35,Lavender,Male,Zombie,None,Beanie,Hat,Green,Cut Off Sleeves,Silver Cuban,Wizard Pipe,Future Shades,Pencil Jaw
3045,1200,Green,Female,Shade 3,None,None,Crew Cut,Green,Collard Tee,Pink Choker,Cigarette,Bridge Piercing,None
3046,2031,Blue,Male,Shade 4,None,None,Mohawk,Brown,Button up,Gold Cuban,Blunt,Bridge Piercing,Pencil Jaw
3047,2464,Mauve,Female,Shade 6,None,None,Dreads,Brown,Hoodie,Silver Cuban,Blunt,Designer Shades 2,None
3048,2253,Sand,Male,Shade 6,None,None,Top Dreads,Red,Button up,Silver Cuban,Blunt,Designer Shades 2,5 o'clock
3049,3575,Mauve,Male,Shade 7,None,None,Crew Cut,Brown,Shirtless,None,Vape,Designer Shades 2,None
3050,3301,Pink,Female,Shade 7,None,None,Crew Cut,Brown,White Tank,Silver Cuban,Vape,None,None
3051,4265,Pink,Female,Shade 6,None,None,Mullet,Blonde,Button up,None,None,None,None
3052,2903,Light Purple,Male,Shade 3,None,None,Mohawk,Platinum,Zip Up Hoodie,Gold Cuban,None,Reading Glasses,5 o'clock
3053,3682,Pink,Female,Shade 4,None,None,Crew Cut,Red,Rags,None,None,Bridge Piercing,None
3054,2940,Green,Female,Shade 3,None,None,Dreads,Black,Collard Tee,None,Surgical Mask,Shutter Shades,None
3055,4532,Deco,Male,Shade 7,None,None,Mullet,Blonde,Shirtless,None,None,None,None
3056,3021,Light Purple,Male,Shade 1,None,None,Mohawk,Platinum,Shirtless,None,Blunt,Designer Shades 2,5 o'clock
3057,2927,Orange,Male,Shade 6,None,None,Crew Cut,Platinum,Turtleneck,None,Vape,Gold Piercings,Sideburns
3058,3894,Deco,Female,Shade 3,None,None,Shaggy,Red,White Tee,None,Septum Piercing,None,None
3059,2152,Light Purple,Female,Shade 3,None,Horns,Hat,Green,Striped Tee,None,None,Eyepatch,None
3060,2452,Mauve,Female,Shade 6,None,None,Buzzed Braids,Platinum,Zip Up Hoodie,Gold Cuban,Pipe,Designer Shades 2,None
3061,4707,Lavender,Male,Shade 2,None,None,Top Dreads,Blonde,White Tank,None,None,None,None
3062,3672,Pine,Male,Shade 3,None,None,Crew Cut,Red,Shirtless With Tats,None,Septum Piercing,None,Half Goat
3063,988,Yellow,Male,Shade 5,None,Forwards Cap,Hat,Black,Collard Tee,Pink Choker,Vape,Shutter Shades,None
3064,1476,Pink,Male,Shade 6,None,None,Buzzed Braids,Red,White Tank,Black Choker,Surgical Mask,Silver Piercings,Half Goat
3065,4283,Pink,Female,Shade 5,None,None,Bowl Cut,Brown,Zip Up Hoodie,None,None,None,None
3066,4289,Lavender,Female,Shade 3,None,None,Crew Cut,Platinum,Hoodie,None,None,None,None
3067,1900,Light Purple,Male,Shade 1,None,Forwards Cap,Hat,Black,White Tee,None,Snake Bites,Gold Piercings,Handlebars
3068,1696,Pink,Male,Shade 7,None,None,Mohawk,Platinum,Ripped Up Tee,Gold Cuban,Vape,Eyepatch,Half Goat
3069,230,Green,Male,Zombie,None,Beanie,Hat,Red,Shirtless,None,Hay,None,Chinstrap
3070,1632,Light Purple,Male,Shade 2,None,Beanie,Hat,Red,Shirtless With Tats,None,Septum Piercing,Reading Glasses,Chinstrap
3071,1049,Deco,Female,Shade 4,None,Beanie,Hat,Brown,Collard Tee,Gold Cuban,Cigarette,Gold Piercings,None
3072,863,Deco,Male,Shade 5,None,Forwards Cap,Hat,Black,Ripped Up Tee,Gold Cuban,Septum Piercing,Sunglasses,5 o'clock
3073,3944,Yellow,Male,Shade 4,None,None,Shaggy,Blonde,Shirtless With Tats,None,Pipe,None,None
3074,4244,Green,Female,Shade 1,None,None,Bowl Cut,Brown,Button up,None,None,None,None
3075,1606,Pine,Male,Shade 3,None,None,Bald,Red,Hoodie,Black Choker,Blunt,Sunglasses,Sideburns
3076,946,Orange,Male,Shade 2,None,Horns,Hat,Brown,Leather Jacket,Pearl Necklace,None,3D Glasses,Half Goat
3077,680,Lavender,Male,Shade 4,None,Trucker Hat,Hat,Blonde,White Tank,Black Choker,Cigarette,3D Glasses,Sideburns
3078,1455,Light Purple,Male,Shade 6,None,Bucket Hat,Hat,Platinum,Collard Tee,None,Quellazaire,Sunglasses,5 o'clock
3079,4881,Mauve,Male,Shade 7,None,None,Shaggy,Red,White Tee,None,None,None,None
3080,4027,Sand,Male,Shade 4,None,None,Mullet,Black,White Tank,None,Septum Piercing,None,None
3081,1754,Green,Male,Shade 3,None,None,Mohawk,Brown,Cut Off Sleeves,Gold Cuban,Vape,Gold Piercings,Pencil Jaw
3082,1317,Orange,Male,Shade 1,None,Trucker Hat,Hat,Platinum,Shirtless With Tats,None,Blunt,3D Glasses,Half Goat
3083,4582,Pink,Male,Shade 4,None,None,Bald,Black,Button up,None,None,None,None
3084,3825,Pink,Male,Shade 2,None,None,Crew Cut,Brown,Turtleneck,None,None,Steampunk Shades,None
3085,2974,Sand,Female,Shade 7,None,None,Spikey,Platinum,Collard Tee,None,Blunt,Bridge Piercing,None
3086,335,Light Purple,Male,Shade 7,None,Forwards Cap,Hat,Blonde,Leather Jacket,Pink Choker,Surgical Mask,3D Glasses,Sideburns
3087,3870,Lavender,Male,Shade 1,None,None,Dreads,Black,Shirtless With Tats,None,Septum Piercing,None,None
3088,4442,Pink,Female,Shade 7,None,None,Mohawk,Brown,Zip Up Hoodie,None,None,None,None
3089,1234,Yellow,Female,Shade 6,None,Forwards Cap,Hat,Black,Hoodie,Gold Cuban,Cigarette,Gold Piercings,None
3090,471,Pink,Male,Shade 1,None,Bucket Hat,Hat,Platinum,Cut Off Sleeves,Silver Cuban,Snake Bites,Shutter Shades,Full Goat
3091,1488,Deco,Female,Shade 6,None,Beanie,Hat,Blonde,Leather Jacket,Silver Cuban,None,Steampunk Shades,None
3092,2197,Lavender,Male,Shade 5,None,None,Shaggy,Black,Hoodie,Gold Cuban,Blunt,Sunglasses,5 o'clock
3093,904,Deco,Female,Shade 7,None,Sweatband,Hat,Blonde,Leather Jacket,Silver Cuban,Surgical Mask,Silver Piercings,None
3094,398,Blue,Female,Shade 5,None,Horns,Hat,Blonde,Dirty Tee,Bling,Hydration Pack,Bridge Piercing,None
3095,194,Pine,Male,Shade 1,Lazy Boy Tats,Cowboy Hat,Hat,Red,Camo Tee,None,Quellazaire,Designer Shades,5 o'clock
3096,4307,Deco,Female,Shade 2,None,None,Crew Cut,Blonde,Button up,None,None,None,None
3097,3680,Pine,Male,Shade 7,None,None,Shaggy,Platinum,Button up,None,Vape,Reading Glasses,None
3098,3418,Orange,Male,Shade 7,None,None,Top Dreads,Blonde,Button up,Silver Cuban,None,Reading Glasses,None
3099,1691,Turquoise,Male,Shade 7,None,Forwards Cap,Hat,Black,Shirtless,None,Septum Piercing,Eyepatch,Half Goat
3100,4003,Lavender,Female,Shade 5,None,None,Top Dreads,Platinum,Festival Top,None,None,None,None
3101,80,Deco,Male,Shade 6,Lazy Boy Tats,Winter Hat,Hat,Brown,White Tee,Black Choker,Respirator Mask,Gold Piercings,Half Goat
3102,1041,Blue,Female,Shade 3,None,Forwards Cap,Hat,Blue,Hawaiian Shirt,Silver Cuban,None,Sunglasses,None
3103,1386,Blue,Male,Shade 1,None,None,Crew Cut,Red,Collard Tee,Silver Cuban,Hay,Shutter Shades,Full Goat
3104,1370,Green,Male,Shade 5,None,None,Buzzed Braids,Brown,Dirty Tee,Black Choker,Vape,Designer Shades,Stache
3105,1185,Pine,Female,Shade 3,None,Sweatband,Hat,Black,Collard Tee,Pink Choker,None,Shutter Shades,None
3106,4538,Yellow,Female,Shade 3,None,None,Mohawk,Black,Zip Up Hoodie,None,None,None,None
3107,3903,Mauve,Female,Shade 2,None,None,Mullet,Black,White Tank,None,Blunt,None,None
3108,77,Sand,Female,Shade 7,Street Tats,Forwards Cap,Hat,Rainbow,Dirty Tee,Silver Cuban,Quellazaire,Silver Piercings,None
3109,2213,Lavender,Female,Shade 4,None,None,Spikey,Red,White Tank,Gold Cuban,Blunt,Gold Piercings,None
3110,1453,Deco,Female,Shade 3,None,Forwards Cap,Hat,Platinum,Hoodie,Pearl Necklace,None,Silver Piercings,None
3111,1378,Lavender,Male,Shade 7,None,None,Bald,Platinum,White Tee,Black Choker,Surgical Mask,Sunglasses,Quarter Goat
3112,2714,Green,Male,Shade 3,None,None,Top Dreads,Brown,Shirtless With Tats,None,Blunt,Shutter Shades,Pencil Jaw
3113,2076,Lavender,Male,Shade 3,None,None,Mullet,Brown,White Tee,Silver Cuban,Vape,Designer Shades,Pencil Jaw
3114,351,Lavender,Male,Shade 5,None,Forwards Cap,Hat,Platinum,Ripped Up Tee,Pink Choker,Respirator Mask,Designer Shades 2,Pencil Jaw
3115,585,Yellow,Male,Shade 3,None,Backwards Hat,Hat,Red,Cut Off Sleeves,Silver Cuban,Snake Bites,Sunglasses,Handlebars
3116,1927,Turquoise,Female,Shade 1,None,None,Dreads,Platinum,Hawaiian Shirt,Gold Cuban,Cigarette,Eyepatch,None
3117,3501,Light Purple,Male,Shade 6,None,None,Mohawk,Black,Zip Up Hoodie,Silver Cuban,None,Reading Glasses,None
3118,4298,Yellow,Female,Shade 6,None,None,Shaggy,Platinum,Hoodie,None,None,None,None
3119,817,Pink,Male,Shade 4,None,Backwards Hat,Hat,Red,Leather Jacket,Silver Cuban,Vape,Reading Glasses,Half Goat
3120,4287,Sand,Female,Shade 5,None,None,Crew Cut,Blonde,Button up,None,None,None,None
3121,4042,Lavender,Female,Shade 5,None,None,Bowl Cut,Brown,Festival Top,None,None,None,None
3122,1558,Turquoise,Female,Shade 6,None,None,Dreads,Blonde,Striped Tee,Pink Choker,Cigarette,Eyepatch,None
3123,2105,Orange,Male,Shade 2,None,None,Crew Cut,Brown,Hoodie,Silver Cuban,Pipe,Silver Piercings,Pencil Jaw
3124,1571,Green,Male,Shade 4,None,Trucker Hat,Hat,Blonde,Cut Off Sleeves,None,Snake Bites,Reading Glasses,Sideburns
3125,3999,Pink,Male,Shade 1,None,None,Mullet,Platinum,Zip Up Hoodie,None,Blunt,None,None
3126,4638,Deco,Male,Shade 6,None,None,Mullet,Platinum,White Tank,None,None,None,None
3127,2233,Orange,Male,Shade 4,None,Sweatband,Hat,Black,Hoodie,None,Snake Bites,Designer Shades 2,5 o'clock
3128,4325,Lavender,Female,Shade 2,None,None,Bowl Cut,Blonde,White Tee,None,None,None,None
3129,660,Pine,Female,Shade 7,None,Beanie,Hat,Platinum,Dirty Tee,Black Choker,Quellazaire,Shutter Shades,None
3130,4225,Sand,Female,Shade 2,None,None,Bowl Cut,Platinum,Zip Up Hoodie,None,None,None,None
3131,535,Sand,Male,Shade 3,None,Bucket Hat,Hat,Brown,Ripped Up Tee,Black Choker,Blunt,Sunglasses,Full Goat
3132,2285,Turquoise,Male,Shade 3,None,Cowboy Hat,Hat,Pink,Turtleneck,None,Blunt,None,Half Goat
3133,2204,Blue,Female,Shade 5,None,None,Crew Cut,Red,White Tee,Black Choker,Septum Piercing,Sunglasses,None
3134,1687,Mauve,Male,Shade 5,None,None,Bowl Cut,Brown,Zip Up Hoodie,Black Choker,Cigarette,Shutter Shades,Chinstrap
3135,2618,Turquoise,Male,Shade 2,None,Forwards Cap,Hat,Platinum,Collard Tee,None,Hay,None,Quarter Goat
3136,0,Wizard,Wizard,Wizard,Wizard,Wizard,Wizard,Wizard,Wizard,Wizard,Wizard,Wizard,Wizard
3137,2496,Turquoise,Female,Shade 4,None,None,Mohawk,Blonde,Hoodie,Silver Cuban,Quellazaire,Reading Glasses,None
3138,2126,Yellow,Female,Shade 2,None,None,Shaggy,Black,White Tee,Pearl Necklace,Septum Piercing,Silver Piercings,None
3139,66,Light Purple,Male,Zombie,None,Backwards Hat,Hat,Brown,Button up,Bling,Blunt,Future Shades,Chinstrap
3140,2328,Blue,Female,Shade 4,None,Sweatband,Hat,Brown,Turtleneck,None,Pipe,Reading Glasses,None
3141,1029,Pine,Female,Shade 7,None,Beanie,Hat,Red,Hoodie,Pearl Necklace,Vape,Silver Piercings,None
3142,4815,Yellow,Male,Shade 3,None,None,Crew Cut,Black,Button up,None,None,None,None
3143,8,Mauve,Female,Alien,Street Tats,Beanie,Hat,Green,Hoodie,Silver Cuban,Quellazaire,Steampunk Shades,None
3144,671,Blue,Male,Shade 3,None,Winter Hat,Hat,Red,Dirty Tee,Silver Cuban,Pipe,3D Glasses,Handlebars
3145,2706,Turquoise,Male,Shade 5,None,None,Mohawk,Platinum,Dirty Tee,Black Choker,Pipe,None,Handlebars
3146,360,Pink,Male,Shade 2,None,Horns,Hat,Blonde,Ripped Up Tee,Black Choker,Hay,Future Shades,Sideburns
3147,4953,Yellow,Male,Shade 3,None,None,Mohawk,Blonde,White Tee,None,None,None,None
3148,4892,Green,Male,Shade 2,None,None,Crew Cut,Red,White Tee,None,None,None,None
3149,3757,Sand,Female,Shade 7,None,None,Shaggy,Brown,Turtleneck,None,None,Reading Glasses,None
3150,764,Pink,Male,Shade 2,None,Forwards Cap,Hat,Black,Hoodie,Black Choker,Snake Bites,Sunglasses,Full Goat
3151,28,Pink,Male,Shade 2,Street Tats,Backwards Hat,Hat,Rainbow,White Tee,Black Choker,Hydration Pack,Cyborg Glasses,Lined Up Soul Patch
3152,4484,Pine,Male,Shade 5,None,None,Bowl Cut,Red,Shirtless,None,None,None,None
3153,2173,Mauve,Female,Shade 7,None,None,Buzzed Braids,Platinum,Striped Tee,Silver Cuban,Pipe,Designer Shades 2,None
3154,3497,Green,Male,Shade 6,None,None,Bald,Red,Rags,None,Pipe,Reading Glasses,None
3155,1259,Pink,Female,Shade 1,None,Cowboy Hat,Hat,Blue,White Tee,None,Hydration Pack,Eyepatch,None
3156,166,Sand,Female,Zombie,None,Forwards Cap,Hat,Rainbow,Dirty Tee,None,Snake Bites,Steampunk Shades,None
3157,1895,Orange,Female,Shade 7,None,Forwards Cap,Hat,Blonde,Turtleneck,None,Wizard Pipe,Sunglasses,None
3158,906,Pine,Male,Shade 6,None,Bucket Hat,Hat,Green,Camo Tee,Silver Cuban,None,Gold Piercings,5 o'clock
3159,3285,Blue,Female,Shade 2,None,None,Crew Cut,Red,Turtleneck,None,Pipe,Bridge Piercing,None
