id,rarity rank,background,gender,skin,tattoos,hat,hair,hairColor,clothes,bling,mouth,glass,facial,nftID
2155,4085,Blue,Female,Shade 7,None,None,Top Dreads,Black,Festival Top,None,None,None,None,1652
2156,2820,Orange,Male,Shade 3,None,None,Mullet,Brown,Zip Up Hoodie,Gold Cuban,Vape,Designer Shades 2,None,0
2157,1434,Yellow,Male,Shade 1,None,None,Shaggy,Platinum,White Tee,Pearl Necklace,Surgical Mask,Sunglasses,Sideburns,4912
2158,3642,Light Purple,Male,Shade 2,None,None,Spikey,Red,Turtleneck,None,Septum Piercing,None,Chinstrap,2166
2159,3764,Deco,Female,Shade 4,None,None,Dreads,Brown,Dress,None,Cigarette,None,None,6137
2160,3076,Turquoise,Female,Shade 2,None,None,Spikey,Red,Turtleneck,None,Septum Piercing,Steampunk Shades,None,0
2161,4216,Orange,Female,Shade 5,None,None,Shaggy,Platinum,Button up,None,None,None,None,1806
2162,2515,Lavender,Female,Shade 1,None,None,Top Dreads,Platinum,Hoodie,Silver Cuban,Pipe,Designer Shades 2,None,0
2163,2264,Green,Female,Shade 5,None,None,Spikey,Red,Zip Up Hoodie,Silver Cuban,Vape,Sunglasses,None,0
2164,1626,Blue,Male,Shade 1,None,Sweatband,Hat,Platinum,Ripped Up Tee,Pearl Necklace,Respirator Mask,None,None,3330
2165,1064,Pink,Female,Shade 4,None,Winter Hat,Hat,Blonde,White Tee,Silver Cuban,Quellazaire,Bridge Piercing,None,0
2166,2417,Lavender,Male,Shade 5,None,None,Top Dreads,Blonde,Dirty Tee,Pearl Necklace,None,Designer Shades 2,Sideburns,373
2167,185,Green,Male,Shade 5,Lazy Boy Tats,Winter Hat,Hat,Blonde,Cut Off Sleeves,None,Surgical Mask,Eyepatch,Half Goat,3023
2168,168,Mauve,Female,Zombie,None,Horns,Hat,Black,Hawaiian Shirt,Bling,Septum Piercing,None,None,0
2169,4086,Pine,Female,Shade 6,None,None,Crew Cut,Red,Festival Top,None,None,None,None,3568
2170,2667,Sand,Male,Shade 6,None,None,Spikey,Blonde,Shirtless With Tats,None,Snake Bites,Reading Glasses,Full Goat,0
2171,4059,Deco,Female,Shade 1,None,None,Top Dreads,Blonde,Festival Top,None,None,None,None,59
2172,1816,Orange,Female,Shade 6,None,Horns,Hat,Black,Hawaiian Shirt,None,Vape,Shutter Shades,None,3619
2173,2364,Lavender,Male,Shade 3,None,None,Buzzed Braids,Platinum,Collard Tee,Gold Cuban,None,Steampunk Shades,Handlebars,0
2174,1810,Deco,Male,Shade 4,None,None,Mullet,Red,White Tank,Black Choker,Quellazaire,Designer Shades 2,Sideburns,0
2175,619,Mauve,Male,Shade 5,None,Forwards Cap,Hat,Red,Ripped Up Tee,Silver Cuban,Septum Piercing,3D Glasses,Lined Up Soul Patch,2864
2176,119,Light Purple,Female,Shade 7,Emo Lover Tats,Winter Hat,Hat,Black,White Tee,Pearl Necklace,Cigarette,Future Shades,None,1524
2177,1460,Orange,Male,Shade 3,None,None,Buzzed Braids,Blonde,Leather Jacket,Silver Cuban,Quellazaire,Designer Shades,Sideburns,0
2178,3107,Green,Female,Shade 4,None,None,Mullet,Black,Dress,None,Septum Piercing,Gold Piercings,None,4068
2179,442,Green,Female,Shade 3,None,Horns,Hat,Pink,White Tank,Pink Choker,Septum Piercing,Designer Shades 2,None,5554
2180,874,Yellow,Male,Shade 7,None,Trucker Hat,Hat,Brown,Leather Jacket,Pink Choker,None,Gold Piercings,Lined Up Soul Patch,5401
2181,2434,Sand,Female,Shade 2,None,None,Shoulder Length,Blonde,Zip Up Hoodie,Gold Cuban,Pipe,Designer Shades 2,None,0
2182,1536,Yellow,Female,Shade 1,None,Winter Hat,Hat,Black,Collard Tee,Black Choker,Quellazaire,None,None,890
2183,3449,Yellow,Female,Shade 2,None,None,Mullet,Black,White Tank,None,Pipe,Sunglasses,None,644
2184,265,Mauve,Male,Shade 2,None,Backwards Hat,Hat,Pink,Striped Tee,Black Choker,Surgical Mask,Designer Shades,Quarter Goat,1045
2185,4705,Yellow,Male,Shade 1,None,None,Top Dreads,Brown,White Tee,None,None,None,None,0
2186,3401,Blue,Female,Shade 3,None,None,Buzzed Braids,Platinum,Button up,None,Vape,Designer Shades 2,None,0
2187,709,Green,Male,Shade 1,None,Trucker Hat,Hat,Platinum,White Tee,Black Choker,Vape,Silver Piercings,Full Goat,2862
2188,1635,Mauve,Male,Shade 5,None,None,Mohawk,Blonde,White Tee,Pearl Necklace,Septum Piercing,Future Shades,Full Goat,0
2189,296,Blue,Female,Shade 4,None,Winter Hat,Hat,Green,Ripped Up Tee,Pink Choker,Vape,Cyborg Glasses,None,0
2190,3089,Blue,Female,Shade 4,None,None,Shoulder Length,Brown,Hawaiian Shirt,None,Septum Piercing,Designer Shades 2,None,0
2191,173,Blue,Male,Shade 2,Street Tats,Sweatband,Hat,Platinum,Turtleneck,None,Hay,Shutter Shades,Lined Up Soul Patch,6085
2192,2788,Green,Male,Shade 6,None,None,Buzzed Braids,Blonde,Hoodie,Gold Cuban,Pipe,Reading Glasses,None,0
2193,3105,Light Purple,Male,Shade 3,None,None,Dreads,Red,Button up,None,Pipe,Sunglasses,5 o'clock,2414
2194,1699,Pine,Male,Shade 7,None,None,Dreads,Blonde,Zip Up Hoodie,Silver Cuban,Surgical Mask,Sunglasses,Handlebars,0
2195,1532,Sand,Male,Shade 3,None,Bucket Hat,Hat,Brown,Dirty Tee,None,Septum Piercing,Bridge Piercing,Chinstrap,818
2196,1945,Yellow,Male,Shade 2,None,None,Bald,Black,Hoodie,Silver Cuban,Vape,Bridge Piercing,Full Goat,0
2197,406,Blue,Male,Shade 4,None,Horns,Hat,Pink,Leather Jacket,Bling,Septum Piercing,Designer Shades,None,3542
2198,1031,Blue,Female,Shade 1,None,Winter Hat,Hat,Black,Hoodie,Silver Cuban,Quellazaire,3D Glasses,None,0
2199,2409,Sand,Female,Shade 3,None,None,Dreads,Platinum,Hoodie,Silver Cuban,Vape,Designer Shades 2,None,4959
2200,2060,Light Purple,Male,Shade 7,None,None,Top Dreads,Platinum,White Tank,Silver Cuban,Cigarette,Sunglasses,5 o'clock,2616
2201,3915,Turquoise,Male,Shade 3,None,None,Crew Cut,Brown,Shirtless With Tats,None,Blunt,None,None,2246
2202,567,Light Purple,Male,Shade 1,None,Backwards Hat,Hat,Blonde,Ripped Up Tee,Black Choker,Vape,Gold Piercings,Handlebars,5844
2203,2674,Pink,Male,Shade 5,None,None,Dreads,Brown,Collard Tee,Silver Cuban,Snake Bites,None,5 o'clock,6115
2204,2691,Mauve,Male,Shade 6,None,None,Bowl Cut,Blonde,White Tank,Gold Cuban,None,Silver Piercings,Quarter Goat,0
2205,490,Sand,Female,Shade 7,None,Winter Hat,Hat,Red,Striped Tee,Pearl Necklace,Hay,Future Shades,None,0
2206,2099,Sand,Female,Shade 4,None,None,Crew Cut,Blonde,Hawaiian Shirt,Gold Cuban,Pipe,Gold Piercings,None,0
2207,1721,Yellow,Male,Shade 6,None,None,Bald,Black,Hoodie,Gold Cuban,Quellazaire,Sunglasses,Half Goat,0
2208,2737,Orange,Male,Shade 4,None,None,Bowl Cut,Blonde,Hoodie,Pearl Necklace,Surgical Mask,None,5 o'clock,2031
2209,2592,Yellow,Male,Shade 6,None,None,Dreads,Black,Leather Jacket,Pearl Necklace,Pipe,None,Pencil Jaw,5862
2210,792,Orange,Male,Shade 2,None,Backwards Hat,Hat,Red,Zip Up Hoodie,Gold Cuban,Surgical Mask,Silver Piercings,Full Goat,0
2211,440,Pink,Male,Shade 6,None,Trucker Hat,Hat,Black,Striped Tee,Black Choker,Septum Piercing,3D Glasses,Handlebars,1500
2212,1653,Turquoise,Male,Shade 2,None,None,Crew Cut,Brown,White Tank,Pearl Necklace,Blunt,Silver Piercings,Sideburns,5884
2213,1720,Light Purple,Male,Shade 2,None,None,Mullet,Blonde,Camo Tee,Gold Cuban,Cigarette,Steampunk Shades,Pencil Jaw,0
2214,3493,Lavender,Male,Shade 4,None,None,Mullet,Brown,Camo Tee,None,Septum Piercing,Gold Piercings,None,0
2215,1573,Orange,Male,Shade 3,None,None,Buzzed Braids,Red,White Tee,Pearl Necklace,Quellazaire,Reading Glasses,Sideburns,0
2216,1289,Pine,Male,Shade 2,None,None,Dreads,Red,Leather Jacket,Black Choker,Surgical Mask,Designer Shades,Pencil Jaw,3572
2217,3732,Pink,Female,Shade 6,None,None,Buzzed Braids,Platinum,Dress,None,Septum Piercing,None,None,1164
2218,3939,Yellow,Female,Shade 7,None,None,Shaggy,Red,Zip Up Hoodie,None,Cigarette,None,None,0
2219,1938,Sand,Female,Shade 6,None,None,Buzzed Braids,Platinum,Striped Tee,Gold Cuban,Vape,Designer Shades,None,4923
2220,1611,Pink,Male,Shade 6,None,Forwards Cap,Hat,Blonde,Collard Tee,Silver Cuban,Cigarette,None,Quarter Goat,5987
2221,2898,Orange,Male,Shade 2,None,None,Mullet,Platinum,Hawaiian Shirt,None,Septum Piercing,Reading Glasses,Half Goat,917
2222,4171,Pine,Female,Shade 3,None,None,Shoulder Length,Red,White Tank,None,None,None,None,0
2223,2435,Mauve,Female,Shade 3,None,None,Bowl Cut,Red,Hoodie,Silver Cuban,Vape,Gold Piercings,None,3348
2224,4929,Turquoise,Male,Shade 7,None,None,Crew Cut,Brown,Hoodie,None,None,None,None,0
2225,1956,Sand,Male,Shade 2,None,None,Bowl Cut,Blonde,Button up,Silver Cuban,Septum Piercing,Bridge Piercing,Full Goat,1266
2226,3258,Yellow,Male,Shade 5,None,None,Bald,Red,Hoodie,None,Cigarette,Reading Glasses,5 o'clock,2272
2227,3126,Deco,Female,Shade 2,None,None,Dreads,Red,Button up,None,Snake Bites,Shutter Shades,None,4109
2228,3436,Pink,Female,Shade 2,None,None,Dreads,Blonde,White Tee,None,Blunt,Reading Glasses,None,4126
2229,2563,Deco,Male,Shade 4,None,None,Bald,Red,Leather Jacket,Black Choker,Septum Piercing,None,Sideburns,0
2230,2679,Blue,Male,Shade 3,None,None,Bald,Black,Camo Tee,None,Quellazaire,Silver Piercings,Pencil Jaw,3057
2231,872,Light Purple,Male,Shade 6,None,Trucker Hat,Hat,Blonde,Zip Up Hoodie,Black Choker,Pipe,Gold Piercings,5 o'clock,5234
2232,154,Sand,Male,Zombie,None,Winter Hat,Hat,Platinum,Ripped Up Tee,Pearl Necklace,Septum Piercing,None,Handlebars,1172
2233,4757,Orange,Male,Shade 6,None,None,Bowl Cut,Red,White Tee,None,None,None,None,3231
2234,3727,Pine,Male,Shade 2,None,None,Mohawk,Red,White Tank,None,None,Designer Shades,5 o'clock,0
2235,724,Orange,Female,Shade 2,None,Cowboy Hat,Hat,Platinum,White Tank,Bling,Cigarette,Bridge Piercing,None,4036
2236,1739,Green,Female,Shade 2,None,None,Dreads,Platinum,Camo Tee,Gold Cuban,Quellazaire,Silver Piercings,None,2662
2237,4409,Sand,Female,Shade 1,None,None,Top Dreads,Black,Hoodie,None,None,None,None,0
2238,4249,Deco,Female,Shade 7,None,None,Top Dreads,Red,Button up,None,None,None,None,5548
2239,1886,Sand,Female,Shade 1,None,None,Spikey,Blonde,Collard Tee,Gold Cuban,Quellazaire,Reading Glasses,None,0
2240,158,Lavender,Male,Shade 4,Street Tats,Sweatband,Hat,Rainbow,White Tee,Bling,None,Bridge Piercing,None,2295
2241,745,Pine,Male,Shade 4,None,Backwards Hat,Hat,Pink,Zip Up Hoodie,Silver Cuban,Hay,3D Glasses,None,0
2242,665,Orange,Female,Shade 3,None,Winter Hat,Hat,Green,Button up,Black Choker,Cigarette,Reading Glasses,None,0
2243,3847,Turquoise,Female,Shade 7,None,None,Mohawk,Blonde,Zip Up Hoodie,None,None,Designer Shades 2,None,0
2244,903,Mauve,Male,Shade 6,None,Forwards Cap,Hat,Platinum,White Tank,Black Choker,Cigarette,Gold Piercings,5 o'clock,0
2245,4089,Lavender,Male,Shade 6,None,None,Crew Cut,Red,White Tank,None,Cigarette,None,None,1329
2246,2200,Orange,Female,Shade 5,None,None,Dreads,Black,Zip Up Hoodie,Silver Cuban,Snake Bites,Steampunk Shades,None,576
2247,3480,Blue,Female,Shade 7,None,None,Shaggy,Platinum,Hoodie,None,Blunt,Reading Glasses,None,2241
2248,4144,Mauve,Female,Shade 6,None,None,Mullet,Black,Festival Top,None,None,None,None,2094
2249,2383,Pine,Female,Shade 4,None,None,Shoulder Length,Blonde,Zip Up Hoodie,Silver Cuban,Vape,Reading Glasses,None,2978
2250,3565,Yellow,Female,Shade 7,None,None,Crew Cut,Black,Hoodie,None,Vape,Designer Shades 2,None,0
2251,1781,Light Purple,Female,Shade 2,None,Sweatband,Hat,Platinum,Turtleneck,None,Hay,Silver Piercings,None,0
2252,3466,Turquoise,Male,Shade 4,None,None,Mohawk,Platinum,White Tee,Silver Cuban,None,Designer Shades 2,None,0
2253,3613,Pine,Male,Shade 2,None,None,Crew Cut,Brown,White Tee,Gold Cuban,Cigarette,None,None,2111
2254,4189,Orange,Female,Shade 6,None,None,Shoulder Length,Red,White Tee,None,None,None,None,6225
2255,3952,Mauve,Female,Shade 7,None,None,Crew Cut,Blonde,Hoodie,None,Cigarette,None,None,5896
2256,1198,Mauve,Female,Shade 1,None,Bucket Hat,Hat,Green,Turtleneck,None,Hay,3D Glasses,None,3541
2257,4258,Light Purple,Male,Shade 6,None,None,Mullet,Platinum,Shirtless With Tats,None,None,None,None,3181
2258,993,Lavender,Male,Shade 7,None,Forwards Cap,Hat,Brown,Collard Tee,Black Choker,Hay,Sunglasses,None,5054
2259,2810,Pine,Male,Shade 5,None,Horns,Hat,Black,White Tank,None,Quellazaire,None,Quarter Goat,0
2260,25,Pink,Female,Alien,None,Bucket Hat,Hat,Pink,Camo Tee,Bling,Quellazaire,Cyborg Glasses,None,2764
2261,3405,Green,Female,Shade 5,None,None,Buzzed Braids,Red,Zip Up Hoodie,None,Cigarette,Sunglasses,None,0
2262,3274,Deco,Female,Shade 7,None,None,Buzzed Braids,Blonde,White Tee,Gold Cuban,Pipe,None,None,1112
2263,2826,Turquoise,Male,Shade 5,None,None,Top Dreads,Brown,Shirtless With Tats,None,Vape,Designer Shades,Pencil Jaw,3430
2264,1500,Mauve,Male,Shade 1,None,None,Bald,Red,White Tank,Pearl Necklace,Surgical Mask,Designer Shades 2,Half Goat,6039
2265,2973,Lavender,Female,Shade 5,None,Forwards Cap,Hat,Black,Cut Off Sleeves,None,Surgical Mask,None,None,3943
2266,3643,Blue,Male,Shade 7,None,None,Mullet,Red,Zip Up Hoodie,Gold Cuban,Pipe,None,None,887
2267,4575,Light Purple,Male,Shade 5,None,None,Bald,Platinum,Zip Up Hoodie,None,None,None,None,1650
2268,2092,Lavender,Female,Shade 2,None,None,Dreads,Blonde,Camo Tee,Silver Cuban,Cigarette,Designer Shades,None,3754
2269,122,Yellow,Female,Shade 3,Street Tats,Beanie,Hat,Black,Leather Jacket,Silver Cuban,Surgical Mask,Bridge Piercing,None,1894
2270,293,Turquoise,Female,Shade 7,None,Bucket Hat,Hat,Green,Dirty Tee,Pearl Necklace,Wizard Pipe,Future Shades,None,3726
2271,4595,Lavender,Male,Shade 1,None,None,Bald,Blonde,White Tee,None,None,None,None,2244
2272,2267,Deco,Female,Shade 6,None,None,Bowl Cut,Blonde,White Tee,Silver Cuban,Quellazaire,Gold Piercings,None,0
2273,2377,Pink,Male,Shade 4,None,None,Crew Cut,Red,Striped Tee,Gold Cuban,Vape,Cyborg Glasses,None,0
2274,3404,Green,Male,Shade 7,None,None,Top Dreads,Red,Collard Tee,None,Surgical Mask,Gold Piercings,None,0
2275,2525,Mauve,Female,Shade 3,None,None,Top Dreads,Black,Zip Up Hoodie,Gold Cuban,Septum Piercing,Reading Glasses,None,1201
2276,3284,Yellow,Female,Shade 4,None,None,Shaggy,Blonde,Festival Top,None,Blunt,Designer Shades 2,None,137
2277,141,Sand,Male,Shade 3,Street Tats,Backwards Hat,Hat,Rainbow,Leather Jacket,None,Cigarette,Sunglasses,Lined Up Soul Patch,0
2278,731,Light Purple,Male,Shade 5,None,Forwards Cap,Hat,Platinum,Button up,Silver Cuban,Quellazaire,Shutter Shades,Handlebars,399
2279,3778,Blue,Female,Shade 5,None,None,Shoulder Length,Black,Rags,None,Pipe,None,None,4058
2280,2150,Light Purple,Female,Shade 6,None,None,Mullet,Blonde,Hoodie,Pearl Necklace,Pipe,Steampunk Shades,None,569
2281,1995,Blue,Male,Shade 6,None,None,Dreads,Blonde,Zip Up Hoodie,Silver Cuban,Pipe,Gold Piercings,Handlebars,0
2282,2587,Mauve,Female,Shade 7,None,None,Shaggy,Black,White Tank,Gold Cuban,Cigarette,Designer Shades 2,None,0
2283,2246,Orange,Female,Shade 1,None,None,Buzzed Braids,Platinum,Button up,Silver Cuban,Vape,Designer Shades,None,0
2284,3484,Turquoise,Male,Shade 3,None,None,Bald,Red,Turtleneck,None,Vape,Bridge Piercing,None,0
2285,2148,Deco,Female,Shade 1,None,None,Crew Cut,Black,White Tank,Pearl Necklace,Vape,Gold Piercings,None,0
2286,1116,Orange,Female,Shade 3,None,None,Buzzed Braids,Green,Camo Tee,Pearl Necklace,Surgical Mask,Bridge Piercing,None,3206
2287,859,Pink,Female,Shade 4,None,Sweatband,Hat,Black,Ripped Up Tee,Silver Cuban,Hydration Pack,Designer Shades,None,3508
2288,113,Pink,Male,Shade 1,Lazy Boy Tats,Beanie,Hat,Green,Button up,Silver Cuban,Wizard Pipe,Silver Piercings,None,3852
2289,2393,Sand,Female,Shade 2,None,None,Bowl Cut,Brown,Hoodie,Silver Cuban,Pipe,Silver Piercings,None,3878
2290,2498,Mauve,Female,Shade 1,None,None,Mullet,Platinum,Hoodie,Silver Cuban,Blunt,Reading Glasses,None,5534
2291,1896,Turquoise,Male,Shade 6,None,None,Top Dreads,Blonde,Ripped Up Tee,Gold Cuban,Pipe,Eyepatch,5 o'clock,3346
2292,3377,Deco,Female,Shade 6,None,None,Dreads,Black,White Tank,None,Vape,Designer Shades,None,0
2293,2860,Pine,Female,Shade 7,None,None,Spikey,Black,Festival Top,None,Surgical Mask,Gold Piercings,None,0
2294,1180,Pink,Female,Shade 1,None,Forwards Cap,Hat,Brown,Hoodie,Black Choker,Cigarette,Reading Glasses,None,0
2295,1010,Pine,Female,Shade 1,None,Sweatband,Hat,Black,Ripped Up Tee,Silver Cuban,Pipe,Shutter Shades,None,0
2296,1217,Blue,Male,Shade 6,None,Backwards Hat,Hat,Blonde,Cut Off Sleeves,Silver Cuban,None,Designer Shades,Full Goat,1506
2297,4718,Light Purple,Male,Shade 2,None,None,Bowl Cut,Brown,Zip Up Hoodie,None,None,None,None,0
2298,2849,Pine,Male,Shade 3,None,None,Bowl Cut,Black,Zip Up Hoodie,None,Wizard Pipe,3D Glasses,Sideburns,5380
2299,4016,Pink,Female,Shade 1,None,None,Crew Cut,Platinum,Festival Top,None,None,None,None,4925
2300,1430,Orange,Male,Shade 5,None,Beanie,Hat,Platinum,Hawaiian Shirt,None,Pipe,Cyborg Glasses,Handlebars,2903
2301,2342,Green,Male,Shade 7,None,None,Shaggy,Blonde,White Tank,Gold Cuban,Pipe,Designer Shades 2,5 o'clock,0
2302,1021,Deco,Female,Shade 4,None,Forwards Cap,Hat,Black,White Tee,Black Choker,Snake Bites,Gold Piercings,None,0
2303,575,Pine,Male,Shade 3,None,Sweatband,Hat,Blonde,Collard Tee,Silver Cuban,Hay,Gold Piercings,Sideburns,0
2304,1864,Pink,Female,Shade 6,None,Beanie,Hat,Platinum,Cut Off Sleeves,None,Hay,Reading Glasses,None,1745
2305,147,Lavender,Female,Zombie,None,None,Spikey,Rainbow,White Tee,Gold Cuban,Hydration Pack,Cyborg Glasses,None,0
2306,3448,Sand,Female,Shade 6,None,None,Dreads,Black,White Tee,None,Septum Piercing,Reading Glasses,None,5652
2307,1302,Light Purple,Male,Shade 5,None,None,Spikey,Brown,Button up,Black Choker,Wizard Pipe,Steampunk Shades,Quarter Goat,0
2308,3521,Pink,Male,Shade 4,None,None,Top Dreads,Blonde,Turtleneck,None,Septum Piercing,Gold Piercings,None,3167
2309,3250,Sand,Female,Shade 6,None,None,Dreads,Blonde,White Tank,Gold Cuban,Cigarette,None,None,0
2310,1074,Lavender,Female,Shade 7,None,Forwards Cap,Hat,Blonde,Hoodie,Silver Cuban,Surgical Mask,Future Shades,None,5264
2311,3967,Turquoise,Female,Shade 7,None,None,Shoulder Length,Platinum,Festival Top,None,None,None,None,0
2312,2926,Deco,Male,Shade 5,None,None,Mohawk,Blonde,Collard Tee,None,Quellazaire,Gold Piercings,5 o'clock,3946
2313,2886,Deco,Male,Shade 4,None,None,Buzzed Braids,Blonde,Turtleneck,None,Vape,Steampunk Shades,Quarter Goat,0
2314,4243,Sand,Female,Shade 5,None,None,Bowl Cut,Blonde,Button up,None,None,None,None,0
2315,2493,Yellow,Female,Shade 1,None,None,Top Dreads,Brown,White Tee,Silver Cuban,Septum Piercing,Designer Shades 2,None,0
2316,751,Green,Male,Shade 5,None,Backwards Hat,Hat,Brown,Zip Up Hoodie,Black Choker,Vape,Eyepatch,Chinstrap,0
2317,1574,Light Purple,Male,Shade 5,None,None,Mullet,Platinum,Collard Tee,Gold Cuban,Septum Piercing,Sunglasses,Full Goat,0
2318,1665,Blue,Female,Shade 4,None,None,Mullet,Brown,Striped Tee,Black Choker,Snake Bites,Steampunk Shades,None,3823
2319,1798,Turquoise,Female,Shade 4,None,None,Shoulder Length,Blonde,Cut Off Sleeves,Silver Cuban,Quellazaire,Designer Shades,None,649
2320,508,Orange,Female,Shade 5,None,Beanie,Hat,Blonde,Collard Tee,Pink Choker,Surgical Mask,Future Shades,None,0
2321,488,Deco,Female,Shade 2,None,Bucket Hat,Hat,Green,Leather Jacket,Gold Cuban,Vape,Steampunk Shades,None,4201
2322,57,Pine,Female,Shade 6,Street Tats,Horns,Hat,Pink,Ripped Up Tee,Gold Cuban,Hydration Pack,Sunglasses,None,0
2323,2348,Yellow,Female,Shade 4,None,None,Shaggy,Blonde,White Tank,Black Choker,Vape,Reading Glasses,None,5400
2324,2424,Light Purple,Male,Shade 6,None,None,Dreads,Pink,Turtleneck,None,Cigarette,Bridge Piercing,Quarter Goat,1413
2325,2112,Pink,Female,Shade 4,None,None,Bowl Cut,Blonde,Zip Up Hoodie,Black Choker,Blunt,Future Shades,None,6203
2326,4701,Green,Male,Shade 1,None,None,Top Dreads,Red,Button up,None,None,None,None,0
2327,1750,Blue,Male,Shade 4,None,Backwards Hat,Hat,Brown,Zip Up Hoodie,None,Snake Bites,Eyepatch,Full Goat,0
2328,253,Yellow,Female,Shade 6,Emo Lover Tats,Winter Hat,Hat,Red,Turtleneck,None,Quellazaire,None,None,5415
2329,216,Pine,Female,Shade 3,Lazy Boy Tats,Winter Hat,Hat,Platinum,Turtleneck,None,Cigarette,Eyepatch,None,5406
2330,778,Sand,Female,Shade 4,None,Beanie,Hat,Platinum,Collard Tee,Gold Cuban,Wizard Pipe,Sunglasses,None,1238
2331,720,Pink,Male,Shade 7,None,Beanie,Hat,Platinum,Dirty Tee,Gold Cuban,Blunt,Eyepatch,Handlebars,1971
2332,373,Deco,Male,Shade 3,None,Winter Hat,Hat,Green,Button up,Silver Cuban,Snake Bites,Sunglasses,Sideburns,4358
2333,3474,Turquoise,Male,Shade 2,None,None,Mullet,Blonde,White Tank,Silver Cuban,None,Designer Shades 2,None,5348
2334,1873,Pine,Female,Shade 6,None,None,Mullet,Platinum,Dirty Tee,Silver Cuban,Quellazaire,Sunglasses,None,3151
2335,381,Lavender,Male,Shade 5,None,Horns,Hat,Red,Dirty Tee,Pearl Necklace,Hydration Pack,Reading Glasses,Chinstrap,0
2336,1210,Orange,Female,Shade 3,None,Forwards Cap,Hat,Brown,Collard Tee,Pink Choker,None,Eyepatch,None,0
2337,2745,Lavender,Male,Shade 3,None,Beanie,Hat,Black,Hawaiian Shirt,None,Septum Piercing,None,Full Goat,5823
2338,933,Mauve,Female,Shade 6,None,Forwards Cap,Hat,Black,Ripped Up Tee,Black Choker,Quellazaire,Reading Glasses,None,2624
2339,4556,Green,Male,Shade 2,None,None,Mohawk,Brown,Rags,None,None,None,None,5407
2340,4847,Sand,Male,Shade 6,None,None,Mullet,Blonde,Zip Up Hoodie,None,None,None,None,0
2341,1711,Light Purple,Female,Shade 6,None,None,Buzzed Braids,Blonde,Hawaiian Shirt,Silver Cuban,Surgical Mask,Eyepatch,None,0
2342,4180,Pine,Female,Shade 3,None,None,Shoulder Length,Brown,Hoodie,None,None,None,None,0
2343,1492,Green,Male,Shade 7,None,None,Bald,Platinum,Collard Tee,Silver Cuban,Snake Bites,Designer Shades 2,Full Goat,5290
2344,3991,Mauve,Female,Shade 2,None,None,Shoulder Length,Blonde,Festival Top,None,None,None,None,1818
2345,4640,Deco,Male,Shade 4,None,None,Top Dreads,Brown,Button up,None,None,None,None,0
2346,1548,Blue,Male,Shade 6,None,None,Spikey,Red,Button up,Black Choker,Blunt,Gold Piercings,Handlebars,5783
2347,4821,Lavender,Male,Shade 7,None,None,Shaggy,Brown,Zip Up Hoodie,None,None,None,None,1408
2348,3516,Sand,Male,Shade 4,None,None,Mullet,Platinum,Shirtless,None,Septum Piercing,Designer Shades 2,None,6220
2349,3219,Yellow,Male,Shade 7,None,None,Crew Cut,Brown,White Tee,None,Cigarette,Steampunk Shades,5 o'clock,2322
2350,598,Lavender,Female,Shade 3,None,Bucket Hat,Hat,Black,Ripped Up Tee,Pearl Necklace,Wizard Pipe,Designer Shades,None,6232
2351,433,Blue,Male,Shade 5,None,Bucket Hat,Hat,Platinum,Ripped Up Tee,Black Choker,Quellazaire,Designer Shades,Half Goat,2729
2352,3522,Turquoise,Female,Shade 7,None,None,Mullet,Platinum,Zip Up Hoodie,None,Pipe,Reading Glasses,None,0
2353,3859,Blue,Female,Shade 7,None,None,Dreads,Platinum,Hoodie,None,Pipe,None,None,0
2354,163,Pine,Male,Shade 7,Street Tats,Winter Hat,Hat,Brown,Ripped Up Tee,Silver Cuban,Blunt,Bridge Piercing,None,4114
2355,2920,Lavender,Female,Shade 5,None,None,Dreads,Red,Dress,None,Quellazaire,Designer Shades,None,1152
2356,2655,Yellow,Male,Shade 7,None,None,Dreads,Platinum,Button up,Silver Cuban,Blunt,Reading Glasses,None,3798
2357,4010,Green,Female,Shade 4,None,None,Top Dreads,Platinum,Festival Top,None,None,None,None,1508
2358,2506,Blue,Male,Shade 7,None,Trucker Hat,Hat,Blonde,Turtleneck,None,None,Eyepatch,Pencil Jaw,0
2359,6,Orange,Female,Alien,Street Tats,Bucket Hat,Hat,Black,Camo Tee,Bling,Cigarette,Steampunk Shades,None,596
2360,551,Orange,Male,Shade 7,None,Bucket Hat,Hat,Brown,White Tank,Pink Choker,Septum Piercing,Designer Shades,Sideburns,0
2361,3718,Mauve,Female,Shade 2,None,None,Mohawk,Black,Festival Top,None,None,Bridge Piercing,None,0
2362,2043,Pink,Female,Shade 5,None,None,Mohawk,Platinum,White Tank,Pearl Necklace,Blunt,Bridge Piercing,None,0
2363,869,Mauve,Male,Shade 6,None,Backwards Hat,Hat,Black,Button up,Silver Cuban,Vape,Future Shades,Quarter Goat,5003
2364,3981,Pine,Male,Shade 5,None,None,Buzzed Braids,Brown,Zip Up Hoodie,None,Blunt,None,None,3209
2365,1876,Pine,Male,Shade 6,None,None,Buzzed Braids,Brown,Hoodie,Silver Cuban,Septum Piercing,Steampunk Shades,Quarter Goat,2570
2366,3414,Light Purple,Female,Shade 3,None,None,Mohawk,Red,Zip Up Hoodie,Silver Cuban,Pipe,None,None,2071
2367,4878,Yellow,Male,Shade 6,None,None,Top Dreads,Black,Zip Up Hoodie,None,None,None,None,0
